park_id,unit_code,name,designation,population_center,region
485,BIBE,Big Bend NP,National Park,Rural Area,Intermountain  Region
489,ACAD,Acadia NP,National Park,Rural Area,Northeast  Region
512,FOBO,Fort Bowie NHS,National Historic Site,Outlying Area,Intermountain  Region
493,FOST,Fort Stanwix NM,National Monument,Outlying Area,Northeast  Region
499,KEFJ,Kenai Fjords NP,National Park,Rural Area,Alaska Region
504,MANZ,Manzanar NHS,National Historic Site,Rural Area,Pacific West  Region
506,FOUS,Fort Union Trading Post NHS,National Historic Site,Rural Area,Midwest  Region
494,FODA,Fort Davis NHS,National Historic Site,Rural Area,Intermountain  Region
185,FOPO,Fort Point NHS,National Historic Site,Urban Area,Pacific West  Region
187,FOMA,Fort Matanzas NM,National Monument,Mixed Area,Southeast  Region
344,ROMO,Rocky Mountain NP,National Park,Mixed Area,Intermountain  Region
345,THIS,Theodore Roosevelt Island,National Memorial,Urban Area,National Capital  Region
497,RICH,Richmond NBP,National Battlefield Park,Suburban Area,Northeast  Region
402,CARE,Capitol Reef NP,National Park,Rural Area,Intermountain  Region
316,GRSM,Great Smoky Mountains NP,National Park,Mixed Area,Southeast  Region
568,BOAF,Boston African American NHS,National Historic Site,Urban Area,Northeast  Region
515,ALPO,Allegheny Portage Railroad NHS,National Historic Site,Outlying Area,Northeast  Region
501,PISC,Piscataway Park,Park (Other),Suburban Area,National Capital  Region
207,KALA,Kalaupapa NHP,National Historical Park,Remote Area,Pacific West  Region
517,FRHI,Friendship Hill NHS,National Historic Site,Suburban Area,Northeast  Region
559,LARO,Lake Roosevelt NRA,National Recreation Area,Mixed Area,Pacific West  Region
578,GLAC,Glacier NP,National Park,Rural Area,Intermountain  Region
582,FRDE,Franklin Delano Roosevelt MEM,National Memorial,Urban Area,National Capital  Region
561,FILA,First Ladies NHS,National Historic Site,Urban Area,Midwest  Region
518,BICY,Big Cypress NPRES,National Preserve,Outlying Area,Southeast  Region
415,CHIS,Channel Islands NP,National Park,Outlying Area,Pacific West  Region
418,MALU,"Martin Luther King, Jr. NHP",National Historical Park,Urban Area,Southeast  Region
555,TUMA,Tumacacori NHP,National Historical Park,Rural Area,Intermountain  Region
175,BOST,Boston NHP,National Historical Park,Urban Area,Northeast  Region
529,CHCU,Chaco Culture NHP,National Historical Park,Outlying Area,Intermountain  Region
178,ELMA,El Malpais NM,National Monument,Rural Area,Intermountain  Region
180,BUFF,Buffalo NR,National River,Rural Area,Midwest  Region
617,SAND,Sand Creek Massacre NHS,National Historic Site,Rural Area,Intermountain  Region
618,MISS,Mississippi NRRA,National River,Mixed Area,Midwest  Region
619,WICL,President W.J. Clinton Birthplace Home NHS,National Historic Site,Rural Area,Southeast  Region
594,FRDO,Frederick Douglass NHS,National Historic Site,Urban Area,National Capital  Region
562,PERI,Pea Ridge NMP,National Military Park,Outlying Area,Midwest  Region
563,NPSA,National Park of American Samoa,National Park,Rural Area,Pacific West  Region
565,JOFI,John F. Kennedy NHS,National Historic Site,Urban Area,Northeast  Region
585,VIVE,Vietnam Veterans MEM,National Memorial,Urban Area,National Capital  Region
566,ULSG,Ulysses S. Grant NHS,National Historic Site,Urban Area,Midwest  Region
581,MORU,Mount Rushmore NMEM,National Memorial,Outlying Area,Midwest  Region
551,WHHO,White House,Park (Other),Urban Area,National Capital  Region
553,PRPA,President's Park,Park (Other),Urban Area,National Capital  Region
516,MAVA,Martin Van Buren NHS,National Historic Site,Rural Area,Northeast  Region
557,YOSE,Yosemite NP,National Park,Rural Area,Pacific West  Region
569,HAFE,Harpers Ferry NHP,National Historical Park,Suburban Area,National Capital  Region
541,CHAM,Chamizal NMEM,National Memorial,Urban Area,Intermountain  Region
589,KOWA,Korean War Veterans Memorial,National Memorial,Urban Area,National Capital  Region
605,LIRI,Little River Canyon NPRES,National Preserve,Rural Area,Southeast  Region
606,GOIS,Governors Island NM,National Monument,Urban Area,Northeast  Region
607,PAAL,Palo Alto Battlefield NHP,National Historical Park,Outlying Area,Intermountain  Region
609,MIMI,Minuteman Missile NHS,National Historic Site,Rural Area,Midwest  Region
577,FOTH,Ford's Theatre NHS,National Historic Site,Urban Area,National Capital  Region
580,ANDE,Andersonville NHS,National Historic Site,Rural Area,Southeast  Region
583,SAMA,Salem Maritime NHS,National Historic Site,Urban Area,Northeast  Region
584,LINC,Lincoln Memorial,National Memorial,Urban Area,National Capital  Region
586,JEFM,Thomas Jefferson MEM,National Memorial,Urban Area,National Capital  Region
588,ALFL,Alibates Flint Quarries NM,National Monument,Outlying Area,Intermountain  Region
587,MUWO,Muir Woods NM,National Monument,Suburban Area,Pacific West  Region
591,HSTR,Harry S Truman NHS,National Historic Site,Urban Area,Midwest  Region
